KO	Category	SuperPathway	SubPathway
K04369	Cellular Processes	Cell Motility	Regulation of actin cytoskeleton
K04369	Cellular Processes	Cell Communication	Gap junction
K04369	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K04369	Organismal Systems	Immune System	Natural killer cell mediated cytotoxicity
K04369	Organismal Systems	Immune System	T cell receptor signaling pathway
K04369	Organismal Systems	Immune System	B cell receptor signaling pathway
K04369	Organismal Systems	Immune System	Fc epsilon RI signaling pathway
K04369	Organismal Systems	Endocrine System	Insulin signaling pathway
K04369	Organismal Systems	Endocrine System	GnRH signaling pathway
K04369	Organismal Systems	Endocrine System	Melanogenesis
K04369	Organismal Systems	Circulatory System	Vascular smooth muscle contraction
K04369	Organismal Systems	Nervous System	Long-term potentiation
K04369	Organismal Systems	Nervous System	Long-term depression
K04369	Organismal Systems	Nervous System	Neurotrophin signaling pathway
K04369	Human Diseases	Cancers	Pathways in cancer
K04369	Human Diseases	Cancers	Glioma
K04369	Human Diseases	Cancers	Thyroid cancer
K04369	Human Diseases	Cancers	Acute myeloid leukemia
K04369	Human Diseases	Cancers	Chronic myeloid leukemia
K04369	Human Diseases	Cancers	Melanoma
K04369	Human Diseases	Cancers	Renal cell carcinoma
K04369	Human Diseases	Cancers	Bladder cancer
K04369	Human Diseases	Cancers	Prostate cancer
K04369	Human Diseases	Cancers	Endometrial cancer
K04369	Human Diseases	Cancers	Non-small cell lung cancer
K04369	Human Diseases	Neurodegenerative Diseases	Prion diseases
K04369	Human Diseases	Infectious Diseases	Influenza A
K04370	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04371	Metabolism	Enzyme Families	Protein kinases
K04371	Genetic Information Processing	Replication and Repair	Chromosome
K04371	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04371	Environmental Information Processing	Signal Transduction	MAPK signaling pathway - fly
K04371	Environmental Information Processing	Signal Transduction	ErbB signaling pathway
K04371	Environmental Information Processing	Signal Transduction	TGF-beta signaling pathway
K04371	Environmental Information Processing	Signal Transduction	VEGF signaling pathway
K04371	Environmental Information Processing	Signal Transduction	mTOR signaling pathway
K04371	Cellular Processes	Cell Motility	Regulation of actin cytoskeleton
K04371	Cellular Processes	Cell Growth and Death	Oocyte meiosis
K04371	Cellular Processes	Cell Communication	Focal adhesion
K04371	Cellular Processes	Cell Communication	Adherens junction
K04371	Cellular Processes	Cell Communication	Gap junction
K04371	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K04371	Organismal Systems	Immune System	NOD-like receptor signaling pathway
K04371	Organismal Systems	Immune System	Natural killer cell mediated cytotoxicity
K04371	Organismal Systems	Immune System	T cell receptor signaling pathway
K04371	Organismal Systems	Immune System	B cell receptor signaling pathway
K04371	Organismal Systems	Immune System	Fc epsilon RI signaling pathway
K04371	Organismal Systems	Immune System	Fc gamma R-mediated phagocytosis
K04371	Organismal Systems	Immune System	Chemokine signaling pathway
K04371	Organismal Systems	Endocrine System	Insulin signaling pathway
K04371	Organismal Systems	Endocrine System	GnRH signaling pathway
K04371	Organismal Systems	Endocrine System	Progesterone-mediated oocyte maturation
K04371	Organismal Systems	Endocrine System	Melanogenesis
K04371	Organismal Systems	Circulatory System	Vascular smooth muscle contraction
K04371	Organismal Systems	Excretory System	Aldosterone-regulated sodium reabsorption
K04371	Organismal Systems	Nervous System	Glutamatergic synapse
K04371	Organismal Systems	Nervous System	Cholinergic synapse
K04371	Organismal Systems	Nervous System	Long-term potentiation
K04371	Organismal Systems	Nervous System	Long-term depression
K04371	Organismal Systems	Nervous System	Neurotrophin signaling pathway
K04371	Organismal Systems	Development	Dorso-ventral axis formation
K04371	Organismal Systems	Development	Axon guidance
K04371	Organismal Systems	Development	Osteoclast differentiation
K04371	Human Diseases	Cancers	Pathways in cancer
K04371	Human Diseases	Cancers	Colorectal cancer
K04371	Human Diseases	Cancers	Pancreatic cancer
K04371	Human Diseases	Cancers	Glioma
K04371	Human Diseases	Cancers	Thyroid cancer
K04371	Human Diseases	Cancers	Acute myeloid leukemia
K04371	Human Diseases	Cancers	Chronic myeloid leukemia
K04371	Human Diseases	Cancers	Melanoma
K04371	Human Diseases	Cancers	Renal cell carcinoma
K04371	Human Diseases	Cancers	Bladder cancer
K04371	Human Diseases	Cancers	Prostate cancer
K04371	Human Diseases	Cancers	Endometrial cancer
K04371	Human Diseases	Cancers	Non-small cell lung cancer
K04371	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K04371	Human Diseases	Neurodegenerative Diseases	Prion diseases
K04371	Human Diseases	Endocrine and Metabolic Diseases	Type II diabetes mellitus
K04371	Human Diseases	Infectious Diseases	Salmonella infection
K04371	Human Diseases	Infectious Diseases	Shigellosis
K04371	Human Diseases	Infectious Diseases	Pertussis
K04371	Human Diseases	Infectious Diseases	Tuberculosis
K04371	Human Diseases	Infectious Diseases	Influenza A
K04371	Human Diseases	Infectious Diseases	Hepatitis C
K04371	Human Diseases	Infectious Diseases	Toxoplasmosis
K04371	Human Diseases	Infectious Diseases	Leishmaniasis
K04371	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K04372	Metabolism	Enzyme Families	Protein kinases
K04372	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04372	Organismal Systems	Endocrine System	Insulin signaling pathway
K04373	Metabolism	Enzyme Families	Protein kinases
K04373	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04373	Environmental Information Processing	Signal Transduction	mTOR signaling pathway
K04373	Cellular Processes	Cell Growth and Death	Oocyte meiosis
K04373	Organismal Systems	Endocrine System	Progesterone-mediated oocyte maturation
K04373	Organismal Systems	Nervous System	Long-term potentiation
K04373	Organismal Systems	Nervous System	Neurotrophin signaling pathway
K04374	Genetic Information Processing	Transcription	Transcription factors
K04374	Genetic Information Processing	Folding, Sorting and Degradation	Protein processing in endoplasmic reticulum
K04374	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04374	Organismal Systems	Endocrine System	GnRH signaling pathway
K04374	Organismal Systems	Nervous System	Cholinergic synapse
K04374	Organismal Systems	Nervous System	Dopaminergic synapse
K04374	Organismal Systems	Nervous System	Long-term potentiation
K04374	Organismal Systems	Nervous System	Neurotrophin signaling pathway
K04374	Human Diseases	Cancers	Prostate cancer
K04374	Human Diseases	Infectious Diseases	HTLV-I infection
K04375	Genetic Information Processing	Transcription	Transcription factors
K04375	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04375	Environmental Information Processing	Signal Transduction	ErbB signaling pathway
K04375	Cellular Processes	Cell Communication	Focal adhesion
K04375	Organismal Systems	Endocrine System	Insulin signaling pathway
K04375	Organismal Systems	Endocrine System	GnRH signaling pathway
K04375	Human Diseases	Cancers	Endometrial cancer
K04375	Human Diseases	Neurodegenerative Diseases	Prion diseases
K04375	Human Diseases	Infectious Diseases	HTLV-I infection
K04375	Human Diseases	Infectious Diseases	Leishmaniasis
K04376	Genetic Information Processing	Transcription	Transcription factors
K04376	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04376	Human Diseases	Cancers	Transcriptional misregulation in cancers
K04376	Human Diseases	Infectious Diseases	HTLV-I infection
K04377	Genetic Information Processing	Transcription	Transcription factors
K04377	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04377	Environmental Information Processing	Signal Transduction	ErbB signaling pathway
K04377	Environmental Information Processing	Signal Transduction	Wnt signaling pathway
K04377	Environmental Information Processing	Signal Transduction	TGF-beta signaling pathway
K04377	Environmental Information Processing	Signal Transduction	Jak-STAT signaling pathway
K04377	Cellular Processes	Cell Growth and Death	Cell cycle
K04377	Human Diseases	Cancers	Pathways in cancer
K04377	Human Diseases	Cancers	Transcriptional misregulation in cancers
K04377	Human Diseases	Cancers	Colorectal cancer
K04377	Human Diseases	Cancers	Thyroid cancer
K04377	Human Diseases	Cancers	Acute myeloid leukemia
K04377	Human Diseases	Cancers	Chronic myeloid leukemia
K04377	Human Diseases	Cancers	Bladder cancer
K04377	Human Diseases	Cancers	Endometrial cancer
K04377	Human Diseases	Cancers	Small cell lung cancer
K04377	Human Diseases	Infectious Diseases	HTLV-I infection
K04378	Genetic Information Processing	Transcription	Transcription factors
K04378	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04378	Human Diseases	Infectious Diseases	HTLV-I infection
K04379	Genetic Information Processing	Transcription	Transcription factors
K04379	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04379	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K04379	Organismal Systems	Immune System	T cell receptor signaling pathway
K04379	Organismal Systems	Immune System	B cell receptor signaling pathway
K04379	Organismal Systems	Nervous System	Cholinergic synapse
K04379	Organismal Systems	Nervous System	Dopaminergic synapse
K04379	Organismal Systems	Development	Osteoclast differentiation
K04379	Human Diseases	Cancers	Pathways in cancer
K04379	Human Diseases	Cancers	Colorectal cancer
K04379	Human Diseases	Immune Diseases	Rheumatoid arthritis
K04379	Human Diseases	Infectious Diseases	Salmonella infection
K04379	Human Diseases	Infectious Diseases	Pertussis
K04379	Human Diseases	Infectious Diseases	HTLV-I infection
K04379	Human Diseases	Infectious Diseases	Herpes simplex infection
K04379	Human Diseases	Infectious Diseases	Leishmaniasis
K04379	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K04380	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04380	Cellular Processes	Cell Motility	Cytoskeleton proteins
K04380	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K04381	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04381	Cellular Processes	Cell Motility	Cytoskeleton proteins
K04382	Genetic Information Processing	Translation	mRNA surveillance pathway
K04382	Genetic Information Processing	Replication and Repair	Chromosome
K04382	Environmental Information Processing	Signal Transduction	Wnt signaling pathway
K04382	Environmental Information Processing	Signal Transduction	TGF-beta signaling pathway
K04382	Cellular Processes	Cell Growth and Death	Cell cycle - yeast
K04382	Cellular Processes	Cell Growth and Death	Meiosis - yeast
K04382	Cellular Processes	Cell Growth and Death	Oocyte meiosis
K04382	Cellular Processes	Cell Communication	Tight junction
K04382	Organismal Systems	Nervous System	Dopaminergic synapse
K04382	Organismal Systems	Nervous System	Long-term depression
K04382	Human Diseases	Infectious Diseases	Hepatitis C
K04382	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K04383	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04383	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K04383	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K04383	Cellular Processes	Cell Growth and Death	Apoptosis
K04383	Organismal Systems	Immune System	Hematopoietic cell lineage
K04383	Organismal Systems	Development	Osteoclast differentiation
K04383	Human Diseases	Immune Diseases	Rheumatoid arthritis
K04383	Human Diseases	Immune Diseases	Graft-versus-host disease
K04383	Human Diseases	Neurodegenerative Diseases	Prion diseases
K04383	Human Diseases	Endocrine and Metabolic Diseases	Type I diabetes mellitus
K04383	Human Diseases	Infectious Diseases	Salmonella infection
K04383	Human Diseases	Infectious Diseases	Pertussis
K04383	Human Diseases	Infectious Diseases	Tuberculosis
K04383	Human Diseases	Infectious Diseases	Measles
K04383	Human Diseases	Infectious Diseases	Influenza A
K04383	Human Diseases	Infectious Diseases	Leishmaniasis
K04384	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K04384	Environmental Information Processing	Signaling Molecules and Interaction	CAM ligands
K04385	Environmental Information Processing	Signal Transduction	Wnt signaling pathway
K04385	Human Diseases	Cancers	Pathways in cancer
K04385	Human Diseases	Cancers	Colorectal cancer
K04385	Human Diseases	Cancers	Basal cell carcinoma
K04385	Human Diseases	Cancers	Endometrial cancer
K04386	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04386	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine receptors
K04386	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K04386	Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
K04386	Cellular Processes	Cell Growth and Death	Apoptosis
K04386	Organismal Systems	Immune System	Hematopoietic cell lineage
K04386	Organismal Systems	Development	Osteoclast differentiation
K04386	Human Diseases	Infectious Diseases	HTLV-I infection
K04386	Human Diseases	Infectious Diseases	Amoebiasis
K04387	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04387	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine receptors
K04387	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K04387	Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
K04387	Organismal Systems	Immune System	Hematopoietic cell lineage
K04387	Human Diseases	Cancers	Transcriptional misregulation in cancers
K04387	Human Diseases	Infectious Diseases	HTLV-I infection
K04387	Human Diseases	Infectious Diseases	Amoebiasis
K04388	Metabolism	Enzyme Families	Protein kinases
K04388	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04388	Environmental Information Processing	Signal Transduction	TGF-beta signaling pathway
K04388	Environmental Information Processing	Signaling Molecules and Interaction	Enzyme-linked receptors
K04388	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine receptors
K04388	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K04388	Cellular Processes	Transport and Catabolism	Endocytosis
K04388	Cellular Processes	Cell Communication	Adherens junction
K04388	Organismal Systems	Development	Osteoclast differentiation
K04388	Human Diseases	Cancers	Pathways in cancer
K04388	Human Diseases	Cancers	Transcriptional misregulation in cancers
K04388	Human Diseases	Cancers	Colorectal cancer
K04388	Human Diseases	Cancers	Pancreatic cancer
K04388	Human Diseases	Cancers	Chronic myeloid leukemia
K04388	Human Diseases	Infectious Diseases	HTLV-I infection
K04388	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K04389	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04389	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K04389	Environmental Information Processing	Signaling Molecules and Interaction	Cytokines
K04389	Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
K04389	Cellular Processes	Cell Growth and Death	Apoptosis
K04389	Organismal Systems	Immune System	Natural killer cell mediated cytotoxicity
K04389	Organismal Systems	Nervous System	Neurotrophin signaling pathway
K04389	Human Diseases	Cancers	Pathways in cancer
K04389	Human Diseases	Immune Diseases	Autoimmune thyroid disease
K04389	Human Diseases	Immune Diseases	Allograft rejection
K04389	Human Diseases	Immune Diseases	Graft-versus-host disease
K04389	Human Diseases	Endocrine and Metabolic Diseases	Type I diabetes mellitus
K04389	Human Diseases	Infectious Diseases	Measles
K04389	Human Diseases	Infectious Diseases	Influenza A
K04389	Human Diseases	Infectious Diseases	Herpes simplex infection
K04389	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K04389	Human Diseases	Infectious Diseases	African trypanosomiasis
K04390	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04390	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine receptors
K04390	Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
K04390	Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
K04390	Cellular Processes	Cell Growth and Death	Apoptosis
K04390	Cellular Processes	Cell Growth and Death	p53 signaling pathway
K04390	Organismal Systems	Immune System	Natural killer cell mediated cytotoxicity
K04390	Human Diseases	Cancers	Pathways in cancer
K04390	Human Diseases	Immune Diseases	Autoimmune thyroid disease
K04390	Human Diseases	Immune Diseases	Allograft rejection
K04390	Human Diseases	Immune Diseases	Graft-versus-host disease
K04390	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K04390	Human Diseases	Endocrine and Metabolic Diseases	Type I diabetes mellitus
K04390	Human Diseases	Infectious Diseases	Measles
K04390	Human Diseases	Infectious Diseases	Influenza A
K04390	Human Diseases	Infectious Diseases	Herpes simplex infection
K04390	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K04390	Human Diseases	Infectious Diseases	African trypanosomiasis
K04391	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04391	Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
K04391	Cellular Processes	Transport and Catabolism	Phagosome
K04391	Cellular Processes	Cell Motility	Regulation of actin cytoskeleton
K04391	Organismal Systems	Immune System	Hematopoietic cell lineage
K04391	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K04391	Human Diseases	Cancers	Transcriptional misregulation in cancers
K04391	Human Diseases	Infectious Diseases	Pathogenic Escherichia coli infection
K04391	Human Diseases	Infectious Diseases	Salmonella infection
K04391	Human Diseases	Infectious Diseases	Pertussis
K04391	Human Diseases	Infectious Diseases	Legionellosis
K04391	Human Diseases	Infectious Diseases	Tuberculosis
K04391	Human Diseases	Infectious Diseases	Amoebiasis
K04392	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04392	Environmental Information Processing	Signal Transduction	Wnt signaling pathway
K04392	Environmental Information Processing	Signal Transduction	VEGF signaling pathway
K04392	Environmental Information Processing	Signaling Molecules and Interaction	GTP-binding proteins
K04392	Cellular Processes	Transport and Catabolism	Phagosome
K04392	Cellular Processes	Cell Motility	Regulation of actin cytoskeleton
K04392	Cellular Processes	Cell Communication	Focal adhesion
K04392	Cellular Processes	Cell Communication	Adherens junction
K04392	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K04392	Organismal Systems	Immune System	Natural killer cell mediated cytotoxicity
K04392	Organismal Systems	Immune System	B cell receptor signaling pathway
K04392	Organismal Systems	Immune System	Fc epsilon RI signaling pathway
K04392	Organismal Systems	Immune System	Fc gamma R-mediated phagocytosis
K04392	Organismal Systems	Immune System	Leukocyte transendothelial migration
K04392	Organismal Systems	Immune System	Chemokine signaling pathway
K04392	Organismal Systems	Digestive System	Pancreatic secretion
K04392	Organismal Systems	Nervous System	Neurotrophin signaling pathway
K04392	Organismal Systems	Development	Axon guidance
K04392	Organismal Systems	Development	Osteoclast differentiation
K04392	Human Diseases	Cancers	Pathways in cancer
K04392	Human Diseases	Cancers	Colorectal cancer
K04392	Human Diseases	Cancers	Pancreatic cancer
K04392	Human Diseases	Cancers	Renal cell carcinoma
K04392	Human Diseases	Neurodegenerative Diseases	Amyotrophic lateral sclerosis (ALS)
K04392	Human Diseases	Cardiovascular Diseases	Viral myocarditis
K04392	Human Diseases	Infectious Diseases	Epithelial cell signaling in Helicobacter pylori infection
K04392	Human Diseases	Infectious Diseases	Salmonella infection
K04392	Human Diseases	Infectious Diseases	Shigellosis
K04392	Human Diseases	Infectious Diseases	Bacterial invasion of epithelial cells
K04393	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04393	Environmental Information Processing	Signal Transduction	MAPK signaling pathway - yeast
K04393	Environmental Information Processing	Signal Transduction	VEGF signaling pathway
K04393	Environmental Information Processing	Signaling Molecules and Interaction	GTP-binding proteins
K04393	Cellular Processes	Transport and Catabolism	Endocytosis
K04393	Cellular Processes	Cell Motility	Regulation of actin cytoskeleton
K04393	Cellular Processes	Cell Communication	Focal adhesion
K04393	Cellular Processes	Cell Communication	Adherens junction
K04393	Cellular Processes	Cell Communication	Tight junction
K04393	Organismal Systems	Immune System	T cell receptor signaling pathway
K04393	Organismal Systems	Immune System	Fc gamma R-mediated phagocytosis
K04393	Organismal Systems	Immune System	Leukocyte transendothelial migration
K04393	Organismal Systems	Immune System	Chemokine signaling pathway
K04393	Organismal Systems	Endocrine System	GnRH signaling pathway
K04393	Organismal Systems	Nervous System	Neurotrophin signaling pathway
K04393	Organismal Systems	Development	Axon guidance
K04393	Human Diseases	Cancers	Pathways in cancer
K04393	Human Diseases	Cancers	Pancreatic cancer
K04393	Human Diseases	Cancers	Renal cell carcinoma
K04393	Human Diseases	Infectious Diseases	Epithelial cell signaling in Helicobacter pylori infection
K04393	Human Diseases	Infectious Diseases	Pathogenic Escherichia coli infection
K04393	Human Diseases	Infectious Diseases	Salmonella infection
K04393	Human Diseases	Infectious Diseases	Shigellosis
K04393	Human Diseases	Infectious Diseases	Bacterial invasion of epithelial cells
K04394	Metabolism	Enzyme Families	Peptidases
K04395	Metabolism	Enzyme Families	Peptidases
K04395	Organismal Systems	Immune System	NOD-like receptor signaling pathway
K04396	Metabolism	Enzyme Families	Peptidases
K04396	Cellular Processes	Cell Growth and Death	Apoptosis
K04397	Metabolism	Enzyme Families	Peptidases
K04397	Cellular Processes	Cell Growth and Death	Apoptosis
K04397	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K04397	Human Diseases	Infectious Diseases	Pertussis
K04397	Human Diseases	Infectious Diseases	Legionellosis
K04398	Metabolism	Enzyme Families	Peptidases
K04398	Cellular Processes	Cell Growth and Death	Apoptosis
K04398	Cellular Processes	Cell Growth and Death	p53 signaling pathway
K04398	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K04398	Organismal Systems	Immune System	NOD-like receptor signaling pathway
K04398	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K04398	Human Diseases	Cancers	Pathways in cancer
K04398	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K04398	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K04398	Human Diseases	Cardiovascular Diseases	Viral myocarditis
K04398	Human Diseases	Infectious Diseases	Legionellosis
K04398	Human Diseases	Infectious Diseases	Tuberculosis
K04398	Human Diseases	Infectious Diseases	Herpes simplex infection
K04398	Human Diseases	Infectious Diseases	Toxoplasmosis
K04398	Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
K04399	Metabolism	Enzyme Families	Peptidases
K04399	Environmental Information Processing	Signal Transduction	VEGF signaling pathway
K04399	Cellular Processes	Cell Growth and Death	Apoptosis
K04399	Cellular Processes	Cell Growth and Death	p53 signaling pathway
K04399	Human Diseases	Cancers	Pathways in cancer
K04399	Human Diseases	Cancers	Colorectal cancer
K04399	Human Diseases	Cancers	Pancreatic cancer
K04399	Human Diseases	Cancers	Prostate cancer
K04399	Human Diseases	Cancers	Endometrial cancer
K04399	Human Diseases	Cancers	Small cell lung cancer
K04399	Human Diseases	Cancers	Non-small cell lung cancer
K04399	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K04399	Human Diseases	Neurodegenerative Diseases	Parkinson's disease
K04399	Human Diseases	Neurodegenerative Diseases	Amyotrophic lateral sclerosis (ALS)
K04399	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K04399	Human Diseases	Cardiovascular Diseases	Viral myocarditis
K04399	Human Diseases	Infectious Diseases	Legionellosis
K04399	Human Diseases	Infectious Diseases	Tuberculosis
K04399	Human Diseases	Infectious Diseases	Influenza A
K04399	Human Diseases	Infectious Diseases	Toxoplasmosis
K04400	Metabolism	Enzyme Families	Peptidases
K04400	Cellular Processes	Cell Growth and Death	Apoptosis
K04400	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K04400	Human Diseases	Infectious Diseases	Tuberculosis
K04401	Metabolism	Enzyme Families	Peptidases
K04402	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04402	Cellular Processes	Cell Growth and Death	Cell cycle
K04402	Cellular Processes	Cell Growth and Death	p53 signaling pathway
K04403	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04403	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K04403	Organismal Systems	Immune System	NOD-like receptor signaling pathway
K04403	Organismal Systems	Development	Osteoclast differentiation
K04403	Human Diseases	Infectious Diseases	Herpes simplex infection
K04403	Human Diseases	Infectious Diseases	Toxoplasmosis
K04403	Human Diseases	Infectious Diseases	Leishmaniasis
K04404	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04404	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K04404	Organismal Systems	Immune System	NOD-like receptor signaling pathway
K04404	Organismal Systems	Development	Osteoclast differentiation
K04404	Human Diseases	Infectious Diseases	Measles
K04404	Human Diseases	Infectious Diseases	Herpes simplex infection
K04404	Human Diseases	Infectious Diseases	Toxoplasmosis
K04404	Human Diseases	Infectious Diseases	Leishmaniasis
K04405	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04406	Metabolism	Enzyme Families	Protein kinases
K04406	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04407	Metabolism	Enzyme Families	Protein kinases
K04407	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04408	Metabolism	Enzyme Families	Protein kinases
K04408	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04409	Metabolism	Enzyme Families	Protein kinases
K04409	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04409	Environmental Information Processing	Signal Transduction	MAPK signaling pathway - yeast
K04409	Environmental Information Processing	Signal Transduction	ErbB signaling pathway
K04409	Cellular Processes	Cell Motility	Regulation of actin cytoskeleton
K04409	Cellular Processes	Cell Communication	Focal adhesion
K04409	Organismal Systems	Immune System	Natural killer cell mediated cytotoxicity
K04409	Organismal Systems	Immune System	T cell receptor signaling pathway
K04409	Organismal Systems	Immune System	Fc gamma R-mediated phagocytosis
K04409	Organismal Systems	Immune System	Chemokine signaling pathway
K04409	Organismal Systems	Development	Axon guidance
K04409	Human Diseases	Cancers	Renal cell carcinoma
K04409	Human Diseases	Infectious Diseases	Epithelial cell signaling in Helicobacter pylori infection
K04410	Metabolism	Enzyme Families	Protein kinases
K04410	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04410	Environmental Information Processing	Signal Transduction	ErbB signaling pathway
K04410	Cellular Processes	Cell Motility	Regulation of actin cytoskeleton
K04410	Cellular Processes	Cell Communication	Focal adhesion
K04410	Organismal Systems	Immune System	T cell receptor signaling pathway
K04410	Organismal Systems	Development	Axon guidance
K04410	Human Diseases	Cancers	Renal cell carcinoma
K04411	Metabolism	Enzyme Families	Protein kinases
K04411	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04411	Human Diseases	Cancers	Pathways in cancer
K04411	Human Diseases	Cancers	Non-small cell lung cancer
K04412	Metabolism	Enzyme Families	Protein kinases
K04412	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04413	Metabolism	Enzyme Families	Protein kinases
K04414	Metabolism	Enzyme Families	Protein kinases
K04414	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04415	Metabolism	Enzyme Families	Protein kinases
K04415	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04415	Organismal Systems	Immune System	Toll-like receptor signaling pathway
K04415	Organismal Systems	Immune System	T cell receptor signaling pathway
K04416	Metabolism	Enzyme Families	Protein kinases
K04416	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin mediated proteolysis
K04416	Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
K04416	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04416	Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
K04416	Organismal Systems	Endocrine System	GnRH signaling pathway
K04416	Organismal Systems	Nervous System	Neurotrophin signaling pathway
K04416	Human Diseases	Infectious Diseases	HTLV-I infection
K04417	Metabolism	Enzyme Families	Protein kinases
K04417	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04418	Metabolism	Enzyme Families	Protein kinases
K04418	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04419	Metabolism	Enzyme Families	Protein kinases
K04419	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04420	Metabolism	Enzyme Families	Protein kinases
K04420	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04420	Cellular Processes	Cell Communication	Gap junction
K04420	Organismal Systems	Endocrine System	GnRH signaling pathway
K04421	Metabolism	Enzyme Families	Protein kinases
K04421	Environmental Information Processing	Signal Transduction	MAPK signaling pathway
K04421	Organismal Systems	Endocrine System	GnRH signaling pathway
K04421	Organismal Systems	Nervous System	Neurotrophin signaling pathway
