Category	SuperPathway	SubPathway	Gene	KOAnnot
Metabolism	Glycan biosynthesis and metabolism	GlycosylphosphatidylinositolGPI-anchor_biosynthesis	K01127	E3.1.4.50; glycosylphosphatidylinositol phospholipase D
Metabolism	Nucleotide metabolism	Purine_metabolism	K01129	dgt; dGTPase
Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	K01130	E3.1.6.1, aslA; arylsulfatase
Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	K01131	STS; steryl-sulfatase
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_degradation	K01132	GALNS; N-acetylgalactosamine-6-sulfatase
Metabolism	Lipid metabolism	Sphingolipid_metabolism	K01134	ARSA; arylsulfatase A
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_degradation	K01135	ARSB; arylsulfatase B
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_degradation	K01136	IDS; iduronate 2-sulfatase
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_degradation	K01137	GNS; N-acetylglucosamine-6-sulfatase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01139	spoT, HDDC3; guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
Genetic Information Processing	Replication and repair	Mismatch_repair	K01141	E3.1.11.1, sbcB; exodeoxyribonuclease I
Genetic Information Processing	Replication and repair	Base_excision_repair	K01142	E3.1.11.2, xthA; exodeoxyribonuclease III
Genetic Information Processing	Folding, sorting and degradation	RNA_degradation	K01148	PARN; poly(A)-specific ribonuclease
Genetic Information Processing	Replication and repair	Base_excision_repair	K01151	nfo; deoxyribonuclease IV
Cellular Processes	Transport and catabolism	Lysosome	K01158	DNASE2; deoxyribonuclease II
Genetic Information Processing	Replication and repair	Homologous_recombination	K01159	ruvC; crossover junction endodeoxyribonuclease RuvC
Genetic Information Processing	Translation	RNA_transport	K01164	POP1; ribonuclease P/MRP protein subunit POP1
Human Diseases	Infectious diseases	Influenza_A	K01165	RNASEL; ribonuclease L
Cellular Processes	Cell growth and death	Apoptosis	K01173	ENDOG; endonuclease G, mitochondrial
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01176	E3.2.1.1, amyA, malS; alpha-amylase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01177	E3.2.1.2; beta-amylase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01178	E3.2.1.3; glucoamylase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01179	E3.2.1.4; endoglucanase
Metabolism	Carbohydrate metabolism	Galactose_metabolism	K01182	E3.2.1.10; oligo-1,6-glucosidase
Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	K01183	E3.2.1.14; chitinase
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K01184	E3.2.1.15; polygalacturonase
Metabolism	Lipid metabolism	Sphingolipid_metabolism	K01186	NEU1; sialidase-1
Metabolism	Carbohydrate metabolism	Galactose_metabolism	K01187	malZ; alpha-glucosidase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01188	E3.2.1.21; beta-glucosidase
Metabolism	Carbohydrate metabolism	Galactose_metabolism	K01189	GLA; alpha-galactosidase
Metabolism	Carbohydrate metabolism	Galactose_metabolism	K01190	lacZ; beta-galactosidase
Metabolism	Glycan biosynthesis and metabolism	Other_glycan_degradation	K01191	E3.2.1.24; alpha-mannosidase
Metabolism	Glycan biosynthesis and metabolism	Other_glycan_degradation	K01192	E3.2.1.25, MANBA, manB; beta-mannosidase
Metabolism	Carbohydrate metabolism	Galactose_metabolism	K01193	E3.2.1.26, sacA; beta-fructofuranosidase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01194	E3.2.1.28, treA, treF; alpha,alpha-trehalase
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K01195	uidA, GUSB; beta-glucuronidase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01196	AGL; glycogen debranching enzyme
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_degradation	K01197	hya; hyaluronoglucosaminidase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01198	xynB; xylan 1,4-beta-xylosidase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01199	E3.2.1.39; glucan endo-1,3-beta-D-glucosidase
Metabolism	Lipid metabolism	Sphingolipid_metabolism	K01201	GBA, srfJ; glucosylceramidase
Metabolism	Lipid metabolism	Sphingolipid_metabolism	K01202	GALC; galactosylceramidase
Metabolism	Carbohydrate metabolism	Galactose_metabolism	K01203	SI; sucrase-isomaltase / oligo-1,6-glucosidase
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid_biosynthesis_-_globo_series	K01204	NAGA; alpha-N-acetylgalactosaminidase
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_degradation	K01205	NAGLU; alpha-N-acetylglucosaminidase
Metabolism	Glycan biosynthesis and metabolism	Other_glycan_degradation	K01206	FUCA; alpha-L-fucosidase
Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	K01207	nagZ; beta-N-acetylhexosaminidase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01208	E3.2.1.54; cyclomaltodextrinase
Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	K01209	E3.2.1.55, abfA; alpha-N-arabinofuranosidase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01210	E3.2.1.58; glucan 1,3-beta-glucosidase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01212	sacC; levanase
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K01213	E3.2.1.67; galacturan 1,4-alpha-galacturonidase
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_degradation	K01217	IDUA; L-iduronidase
Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	K01218	E3.2.1.78; mannan endo-1,4-beta-mannosidase
Metabolism	Carbohydrate metabolism	Galactose_metabolism	K01220	E3.2.1.85, lacG; 6-phospho-beta-galactosidase
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K01222	E3.2.1.86A, celF; 6-phospho-beta-glucosidase
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K01223	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01225	E3.2.1.91; cellulose 1,4-beta-cellobiosidase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01226	treC; trehalose-6-phosphate hydrolase
Metabolism	Glycan biosynthesis and metabolism	Other_glycan_degradation	K01227	E3.2.1.96; mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
Metabolism	Glycan biosynthesis and metabolism	N-Glycan_biosynthesis	K01228	GCS1; mannosyl-oligosaccharide glucosidase
Metabolism	Carbohydrate metabolism	Galactose_metabolism	K01229	LCT; lactase-phlorizin hydrolase
Metabolism	Glycan biosynthesis and metabolism	N-Glycan_biosynthesis	K01230	MAN1; mannosyl-oligosaccharide alpha-1,2-mannosidase
Metabolism	Glycan biosynthesis and metabolism	N-Glycan_biosynthesis	K01231	MAN2; alpha-mannosidase II
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01232	E3.2.1.122, glvA; maltose-6'-phosphate glucosidase
Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	K01233	csn; chitosanase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01236	treZ, glgZ; maltooligosyltrehalose trehalohydrolase
Metabolism	Amino acid metabolism	Tryptophan_metabolism	K01237	E3.2.1.147; myrosinase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01239	iunH; purine nucleosidase
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K01240	URH1; uridine nucleosidase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01241	amn; AMP nucleosidase
Metabolism	Metabolism of cofactors and vitamins	Nicotinate_and_nicotinamide_metabolism	K01242	CD38; ADP-ribosyl cyclase 1
Metabolism	Amino acid metabolism	Cysteine_and_methionine_metabolism	K01243	mtnN, mtn, pfs; adenosylhomocysteine nucleosidase
Metabolism	Amino acid metabolism	Cysteine_and_methionine_metabolism	K01244	MTN; 5'-methylthioadenosine nucleosidase
Genetic Information Processing	Replication and repair	Base_excision_repair	K01246	tag; DNA-3-methyladenine glycosylase I
Genetic Information Processing	Replication and repair	Base_excision_repair	K01247	alkA; DNA-3-methyladenine glycosylase II
Metabolism	Amino acid metabolism	Cysteine_and_methionine_metabolism	K01251	E3.3.1.1, ahcY; adenosylhomocysteinase
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis_of_siderophore_group_nonribosomal_peptides	K01252	entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein
Metabolism	Xenobiotics biodegradation and metabolism	Metabolism_of_xenobiotics_by_cytochrome_P450	K01253	EPHX1; microsomal epoxide hydrolase
Metabolism	Lipid metabolism	Arachidonic_acid_metabolism	K01254	LTA4H; leukotriene-A4 hydrolase
Metabolism	Metabolism of other amino acids	Glutathione_metabolism	K01255	CARP, pepA; leucyl aminopeptidase
Metabolism	Metabolism of other amino acids	Glutathione_metabolism	K01256	pepN; aminopeptidase N
Organismal Systems	Endocrine system	Renin-angiotensin_system	K01257	LNPEP; cystinyl aminopeptidase
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K01259	pip; proline iminopeptidase
Metabolism	Metabolism of other amino acids	Glutathione_metabolism	K01270	pepD; dipeptidase D
Cellular Processes	Transport and catabolism	Lysosome	K01275	CTSC; cathepsin C
Organismal Systems	Digestive system	Protein_digestion_and_absorption	K01278	DPP4; dipeptidyl-peptidase 4
Cellular Processes	Transport and catabolism	Lysosome	K01279	TPP1, CLN2; tripeptidyl-peptidase I
Organismal Systems	Endocrine system	Renin-angiotensin_system	K01283	E3.4.15.1, ACE; peptidyl-dipeptidase A
Organismal Systems	Digestive system	Protein_digestion_and_absorption	K01285	PRCP; lysosomal Pro-X carboxypeptidase
Organismal Systems	Digestive system	Pancreatic_secretion	K01291	CPB1; carboxypeptidase B
Human Diseases	Endocrine and metabolic diseases	Type_I_diabetes_mellitus	K01294	CPE; carboxypeptidase E
Organismal Systems	Digestive system	Pancreatic_secretion	K01298	CPA2; carboxypeptidase A2
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01300	CPB2; carboxypeptidase B2
Metabolism	Metabolism of cofactors and vitamins	Folate_biosynthesis	K01307	GGH; gamma-glutamyl hydrolase
Environmental Information Processing	Signaling molecules and interaction	Neuroactive_ligand-receptor_interaction	K01312	PRSS; trypsin
Environmental Information Processing	Signaling molecules and interaction	Neuroactive_ligand-receptor_interaction	K01313	F2; coagulation factor II (thrombin)
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01314	F10; coagulation factor X
Environmental Information Processing	Signaling molecules and interaction	Neuroactive_ligand-receptor_interaction	K01315	PLG; plasminogen
Environmental Information Processing	Signaling molecules and interaction	Neuroactive_ligand-receptor_interaction	K01319	CTSG; cathepsin G
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01320	F7; coagulation factor VII
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01321	F9; coagulation factor IX (Christmas factor)
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01323	F11; coagulation factor XI
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01324	KLKB1; plasma kallikrein
Organismal Systems	Excretory system	Endocrine_and_other_factor-regulated_calcium_reabsorption	K01325	KLK1_2; tissue kallikrein
Human Diseases	Cancers	Transcriptional_misregulation_in_cancers	K01327	ELANE; leukocyte elastase
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01328	F12; coagulation factor XII (Hageman factor)
Organismal Systems	Endocrine system	Renin-angiotensin_system	K01329	CMA1; chymase
Cellular Processes	Transport and catabolism	Phagosome	K01330	C1R; complement component 1, r subcomponent
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01331	C1S; complement component 1, s subcomponent
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01332	C2; complement component 2
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01333	CFI; complement factor I
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01334	CFD; component factor D
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01335	CFB; component factor B
Cellular Processes	Cell growth and death	Cell_cycle_-_Caulobacter	K01338	lon; ATP-dependent Lon protease
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01343	PLAT; tissue plasminogen activator
Organismal Systems	Immune system	Complement_and_coagulation_cascades	K01344	PROC; protein C (activated)
Organismal Systems	Digestive system	Pancreatic_secretion	K01345	CELA3; pancreatic endopeptidase E
Organismal Systems	Digestive system	Pancreatic_secretion	K01346	CELA2; pancreatic elastase II
Environmental Information Processing	Signal transduction	NF-kappa_B_signaling_pathway	K01348	PLAU; urokinase plasminogen activator
Human Diseases	Infectious diseases	Influenza_A	K01349	FURIN, PCSK3; furin
Human Diseases	Cancers	Pathways_in_cancer	K01351	KLK3; semenogelase
Environmental Information Processing	Signaling molecules and interaction	Neuroactive_ligand-receptor_interaction	K01352	GZMA; granzyme A
Organismal Systems	Immune system	Natural_killer_cell_mediated_cytotoxicity	K01353	GZMB; granzyme B
Human Diseases	Infectious diseases	Chagas_disease_American_trypanosomiasis	K01354	ptrB; oligopeptidase B
Environmental Information Processing	Signal transduction	Wnt_signaling_pathway	K01357	WNT10; wingless-type MMTV integration site family, member 10
Cellular Processes	Cell growth and death	Cell_cycle_-_Caulobacter	K01358	clpP, CLPP; ATP-dependent Clp protease, protease subunit
Cellular Processes	Transport and catabolism	Lysosome	K01363	CTSB; cathepsin B
Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance	K01364	speB; streptopain
Cellular Processes	Transport and catabolism	Phagosome	K01365	CTSL; cathepsin L
Cellular Processes	Transport and catabolism	Lysosome	K01366	CTSH; cathepsin H
Genetic Information Processing	Folding, sorting and degradation	Protein_processing_in_endoplasmic_reticulum	K01367	CAPN1; calpain-1
Cellular Processes	Transport and catabolism	Phagosome	K01368	CTSS; cathepsin S
Cellular Processes	Transport and catabolism	Lysosome	K01369	LGMN; legumain
Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway	K01370	CASP1; caspase 1
Cellular Processes	Transport and catabolism	Lysosome	K01371	CTSK; cathepsin K
Cellular Processes	Transport and catabolism	Lysosome	K01373	CTSF; cathepsin F
Cellular Processes	Transport and catabolism	Lysosome	K01374	CTSO; cathepsin O
Cellular Processes	Transport and catabolism	Lysosome	K01375	CTSL2, CTSV; cathepsin V
Environmental Information Processing	Signal transduction	Sphingolipid_signaling_pathway	K01379	CTSD; cathepsin D
Organismal Systems	Endocrine system	Renin-angiotensin_system	K01380	REN; renin
Cellular Processes	Transport and catabolism	Lysosome	K01382	CTSE; cathepsin E
Environmental Information Processing	Signal transduction	Wnt_signaling_pathway	K01384	WNT11; wingless-type MMTV integration site family, member 11
Organismal Systems	Endocrine system	PPAR_signaling_pathway	K01388	MMP1; matrix metalloproteinase-1 (interstitial collagenase)
Organismal Systems	Immune system	Hematopoietic_cell_lineage	K01389	MME; neprilysin
Organismal Systems	Endocrine system	Renin-angiotensin_system	K01392	THOP1; thimet oligopeptidase
Organismal Systems	Endocrine system	Renin-angiotensin_system	K01393	NLN; neurolysin
Environmental Information Processing	Signal transduction	TNF_signaling_pathway	K01394	MMP3; matrix metalloproteinase-3 (stromelysin 1, progelatinase)
Organismal Systems	Digestive system	Protein_digestion_and_absorption	K01395	MEP1A; meprin A
Environmental Information Processing	Signal transduction	Wnt_signaling_pathway	K01397	MMP7; matrix metalloproteinase-7 (matrilysin, uterine)
Organismal Systems	Immune system	Leukocyte_transendothelial_migration	K01398	MMP2; matrix metalloproteinase-2 (gelatinase A)
Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance	K01399	lasB; pseudolysin
Human Diseases	Infectious diseases	Staphylococcus_aureus_infection	K01401	aur; aureolysin
Environmental Information Processing	Signal transduction	TNF_signaling_pathway	K01403	MMP9; matrix metalloproteinase-9 (gelatinase B)
Human Diseases	Infectious diseases	Leishmaniasis	K01404	GP63; leishmanolysin
Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance	K01406	E3.4.24.40; serralysin
Human Diseases	Neurodegenerative diseases	Alzheimer's_disease	K01408	IDE, ide; insulysin
Metabolism	Amino acid metabolism	Alanine_aspartate_and_glutamate_metabolism	K01424	E3.5.1.1, ansA, ansB; L-asparaginase
Metabolism	Amino acid metabolism	Alanine_aspartate_and_glutamate_metabolism	K01425	glsA, GLS; glutaminase
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K01426	E3.5.1.4, amiE; amidase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01427	URE; urease
Metabolism	Nucleotide metabolism	Purine_metabolism	K01428	ureC; urease subunit alpha
Metabolism	Nucleotide metabolism	Purine_metabolism	K01429	ureB; urease subunit beta
Metabolism	Nucleotide metabolism	Purine_metabolism	K01430	ureA; urease subunit gamma
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K01431	UPB1; beta-ureidopropionase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K01432	AFMID; arylformamidase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K01433	purU; formyltetrahydrofolate deformylase
Metabolism	Biosynthesis of other secondary metabolites	Penicillin_and_cephalosporin_biosynthesis	K01434	E3.5.1.11; penicillin amidase
Metabolism	Metabolism of cofactors and vitamins	Biotin_metabolism	K01435	BTD; biotinidase
Metabolism	Amino acid metabolism	Alanine_aspartate_and_glutamate_metabolism	K01437	ASPA, aspA; aspartoacylase
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K01438	argE; acetylornithine deacetylase
Metabolism	Amino acid metabolism	Lysine_biosynthesis	K01439	dapE; succinyl-diaminopimelate desuccinylase
Metabolism	Metabolism of cofactors and vitamins	Nicotinate_and_nicotinamide_metabolism	K01440	PNC1; nicotinamidase
Metabolism	Lipid metabolism	Sphingolipid_metabolism	K01441	ACER1_2, ASAH3; alkaline ceramidase
Metabolism	Lipid metabolism	Primary_bile_acid_biosynthesis	K01442	E3.5.1.24; choloylglycine hydrolase
Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	K01443	nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase
Metabolism	Glycan biosynthesis and metabolism	Other_glycan_degradation	K01444	AGA, aspG; N4-(beta-N-acetylglucosaminyl)-L-asparaginase
Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance	K01448	E3.5.1.28B, amiA, amiB, amiC; N-acetylmuramoyl-L-alanine amidase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K01450	def; formylmethionine deformylase
Metabolism	Amino acid metabolism	Phenylalanine_metabolism	K01451	hipO; hippurate hydrolase
Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	K01452	E3.5.1.41; chitin deacetylase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K01455	E3.5.1.49; formamidase
Genetic Information Processing	Folding, sorting and degradation	Protein_processing_in_endoplasmic_reticulum	K01456	E3.5.1.52, NGLY1, PNG1; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K01457	E3.5.1.54; allophanate hydrolase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K01458	E3.5.1.68; N-formylglutamate deformylase
Metabolism	Metabolism of other amino acids	Glutathione_metabolism	K01460	gsp; glutathionylspermidine amidase/synthetase
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K01464	DPYS, dht, hydA; dihydropyrimidinase
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K01465	URA4, pyrC; dihydroorotase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01466	allB; allantoinase
Environmental Information Processing	Signal transduction	Two-component_system	K01467	ampC; beta-lactamase class C
Metabolism	Amino acid metabolism	Histidine_metabolism	K01468	hutI, AMDHD1; imidazolonepropionase
Metabolism	Metabolism of other amino acids	Glutathione_metabolism	K01469	OPLAH, OXP1, oplAH; 5-oxoprolinase (ATP-hydrolysing)
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K01470	E3.5.2.10; creatinine amidohydrolase
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K01473	hyuA; N-methylhydantoinase A
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K01474	hyuB; N-methylhydantoinase B
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K01476	E3.5.3.1, rocF, arg; arginase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01477	alc, ALLC; allantoicase
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K01478	E3.5.3.6, arcA; arginine deiminase
Metabolism	Amino acid metabolism	Histidine_metabolism	K01479	hutG; formiminoglutamase
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K01480	E3.5.3.11, speB; agmatinase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01483	allA; ureidoglycolate lyase
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K01484	astB; succinylarginine dihydrolase
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K01485	codA; cytosine deaminase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01486	ade; adenine deaminase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01487	E3.5.4.3, guaD; guanine deaminase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01488	add, ADA; adenosine deaminase
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K01489	cdd, CDA; cytidine deaminase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01490	AMPD; AMP deaminase
Metabolism	Energy metabolism	Carbon_fixation_pathways_in_prokaryotes	K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01492	E2.1.2.3; phosphoribosylaminoimidazolecarboxamide formyltransferase
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K01493	comEB; dCMP deaminase
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K01494	dcd; dCTP deaminase
Metabolism	Metabolism of cofactors and vitamins	Folate_biosynthesis	K01495	GCH1, folE; GTP cyclohydrolase I
Metabolism	Amino acid metabolism	Histidine_metabolism	K01496	hisI; phosphoribosyl-AMP cyclohydrolase
Metabolism	Metabolism of cofactors and vitamins	Riboflavin_metabolism	K01497	ribA, RIB1; GTP cyclohydrolase II
Metabolism	Metabolism of cofactors and vitamins	Riboflavin_metabolism	K01498	ribD1; diaminohydroxyphosphoribosylaminopyrimidine deaminase
Metabolism	Energy metabolism	Methane_metabolism	K01499	mch; methenyltetrahydromethanopterin cyclohydrolase
Metabolism	Energy metabolism	Nitrogen_metabolism	K01501	E3.5.5.1; nitrilase
Metabolism	Xenobiotics biodegradation and metabolism	Styrene_degradation	K01502	E3.5.5.7; aliphatic nitrilase
Metabolism	Carbohydrate metabolism	Propanoate_metabolism	K01505	E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase
Metabolism	Energy metabolism	Oxidative_phosphorylation	K01507	ppa; inorganic pyrophosphatase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01509	ENTPD2; adenosinetriphosphatase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01510	ENTPD1_3_8; apyrase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01511	ENTPD5_6; ectonucleoside triphosphate diphosphohydrolase 5/6
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	K01512	acyP; acylphosphatase
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	K01513	ENPP1_3; ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3
Metabolism	Nucleotide metabolism	Purine_metabolism	K01514	PRUNE, PPX1; exopolyphosphatase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01515	nudF; ADP-ribose pyrophosphatase
Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	K01517	ADPRM; manganese-dependent ADP-ribose/CDP-alcohol diphosphatase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01518	NUDT2; bis(5'-nucleosidyl)-tetraphosphatase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01519	ITPA; inosine triphosphate pyrophosphatase
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K01520	dut, DUT; dUTP pyrophosphatase
Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	K01521	cdh; CDP-diacylglycerol pyrophosphatase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01522	FHIT; bis(5'-adenosyl)-triphosphatase
Metabolism	Amino acid metabolism	Histidine_metabolism	K01523	hisE; phosphoribosyl-ATP pyrophosphohydrolase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01524	ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
Metabolism	Nucleotide metabolism	Purine_metabolism	K01525	apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
Cellular Processes	Transport and catabolism	Endocytosis	K01528	DNM; dynamin GTPase
Metabolism	Energy metabolism	Oxidative_phosphorylation	K01535	E3.6.3.6; H+-transporting ATPase
Environmental Information Processing	Signal transduction	cAMP_signaling_pathway	K01538	FXYD2, ATP1G1; sodium/potassium-transporting ATPase subunit gamma (FXYD domain-containing ion transport regulator 2)
Environmental Information Processing	Signal transduction	cAMP_signaling_pathway	K01539	ATP1A; sodium/potassium-transporting ATPase subunit alpha
Environmental Information Processing	Signal transduction	cAMP_signaling_pathway	K01540	ATP1B; sodium/potassium-transporting ATPase subunit beta
Metabolism	Energy metabolism	Oxidative_phosphorylation	K01541	E3.6.3.10; H+/K+-exchanging ATPase
Metabolism	Energy metabolism	Oxidative_phosphorylation	K01542	ATP4A; H+/K+-exchanging ATPase alpha polypeptide
Metabolism	Energy metabolism	Oxidative_phosphorylation	K01543	ATP4B; H+/K+-exchanging ATPase beta polypeptide
Metabolism	Energy metabolism	Oxidative_phosphorylation	K01544	ATP12A; non-gastric H+/K+-exchanging ATPase
Environmental Information Processing	Signal transduction	Two-component_system	K01545	kdpF; K+-transporting ATPase ATPase F chain
Environmental Information Processing	Signal transduction	Two-component_system	K01546	kdpA; K+-transporting ATPase ATPase A chain
Environmental Information Processing	Signal transduction	Two-component_system	K01547	kdpB; K+-transporting ATPase ATPase B chain
Environmental Information Processing	Signal transduction	Two-component_system	K01548	kdpC; K+-transporting ATPase ATPase C chain
Metabolism	Energy metabolism	Oxidative_phosphorylation	K01549	TIM11, ATP21; F-type H+-transporting ATP synthase subunit e
Metabolism	Amino acid metabolism	Tyrosine_metabolism	K01555	FAH, fahA; fumarylacetoacetase
Metabolism	Amino acid metabolism	Tryptophan_metabolism	K01556	KYNU, kynU; kynureninase
Metabolism	Amino acid metabolism	Tyrosine_metabolism	K01557	FAHD1; acylpyruvate hydrolase
Environmental Information Processing	Signal transduction	Wnt_signaling_pathway	K01558	WNT16; wingless-type MMTV integration site family, member 16
Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane_and_chloroalkene_degradation	K01560	E3.8.1.2; 2-haloacid dehalogenase
